timestamp,stake_mult,prob_up_BTCUSDT,prob_down_BTCUSDT,actual_BTCUSDT,signal_BTCUSDT,dir_BTCUSDT,prob_up_ETHUSDT,prob_down_ETHUSDT,actual_ETHUSDT,signal_ETHUSDT,dir_ETHUSDT,prob_up_XRPUSDT,prob_down_XRPUSDT,actual_XRPUSDT,signal_XRPUSDT,dir_XRPUSDT
2025-10-10 23:00:00+00:00,1.0,0.50495964,0.49504036,0,0,0,0.51072276,0.48927724,1,1,1,0.49555844,0.50444156,1,0,0
2025-10-11 00:00:00+00:00,2.0,0.50300705,0.49699295,0,0,0,0.5085758,0.4914242,0,0,0,0.49355617,0.50644386,0,0,0
2025-10-11 01:00:00+00:00,2.0,0.51474077,0.48525923,1,1,1,0.5148711,0.48512888,1,1,1,0.5122556,0.4877444,1,0,0
2025-10-11 02:00:00+00:00,2.0,0.50627065,0.49372935,0,0,0,0.49846625,0.50153375,0,0,0,0.48681867,0.5131813,0,0,0
2025-10-11 03:00:00+00:00,2.0,0.519166,0.480834,1,1,1,0.50111616,0.49888384,1,0,0,0.49462777,0.5053722,1,0,0
2025-10-11 04:00:00+00:00,2.0,0.4998639,0.50013614,0,0,0,0.5134859,0.4865141,0,1,1,0.4929,0.5071,0,0,0
2025-10-11 05:00:00+00:00,2.0,0.50197417,0.49802583,0,0,0,0.49240375,0.50759625,0,0,0,0.49558213,0.5044179,1,0,0
2025-10-11 06:00:00+00:00,2.0,0.5222077,0.47779232,0,1,1,0.5152241,0.4847759,0,1,1,0.5040981,0.49590188,0,0,0
2025-10-11 07:00:00+00:00,2.0,0.52294546,0.47705454,1,1,1,0.5053149,0.4946851,1,0,0,0.49868402,0.50131595,1,0,0
2025-10-11 08:00:00+00:00,2.0,0.5124152,0.48758483,1,1,1,0.4910931,0.5089069,1,0,0,0.49098948,0.50901055,0,0,0
2025-10-11 09:00:00+00:00,2.0,0.50529355,0.49470645,1,0,0,0.49531737,0.50468266,1,0,0,0.4971295,0.5028705,1,0,0
2025-10-11 10:00:00+00:00,2.0,0.4936167,0.5063833,1,0,0,0.49618378,0.50381625,1,0,0,0.4924907,0.5075093,0,0,0
2025-10-11 11:00:00+00:00,2.0,0.4920814,0.5079186,1,0,0,0.48487213,0.5151279,0,1,-1,0.48547798,0.514522,0,0,0
2025-10-11 12:00:00+00:00,2.0,0.48657656,0.51342344,0,1,-1,0.5019957,0.49800432,1,0,0,0.505804,0.494196,1,0,0
2025-10-11 13:00:00+00:00,2.0,0.48297137,0.5170286,0,1,-1,0.4877227,0.5122773,0,1,-1,0.4983532,0.50164676,1,0,0
